Orientation,Length,Nonsyn,HSmut,Convergent,Parallel,Coincidental
CD,35,2,0,0,0,0
CD,38,4,2,0,0,2
CD,39,1,0,0,0,0
CD,40,4,2,0,0,2
CD,41,0,0,0,0,0
CD,43,7,0,0,0,0
CD,45,3,0,0,0,0
CD,46,2,0,0,0,0
CD,47,3,0,0,0,0
CD,48,1,0,0,0,0
CD,48,0,0,0,0,0
CD,51,2,0,0,0,0
CD,52,3,0,0,0,0
CD,55,3,0,0,0,0
CD,55,3,0,0,0,0
CD,55,1,0,0,0,0
CD,56,3,0,0,0,0
CD,56,1,0,0,0,0
CD,57,1,0,0,0,0
CD,59,0,0,0,0,0
CD,60,3,0,0,0,0
CD,60,0,0,0,0,0
CD,61,3,0,0,0,0
CD,61,0,0,0,0,0
CD,61,0,0,0,0,0
CD,62,2,0,0,0,0
CD,63,5,2,0,2,0
CD,63,4,0,0,0,0
CD,63,0,0,0,0,0
CD,65,1,0,0,0,0
CD,66,3,0,0,0,0
CD,66,1,0,0,0,0
CD,67,3,0,0,0,0
CD,67,0,0,0,0,0
CD,69,4,0,0,0,0
CD,69,1,0,0,0,0
CD,69,2,0,0,0,0
CD,70,0,0,0,0,0
CD,74,4,0,0,0,0
CD,74,2,2,0,0,2
CD,74,0,0,0,0,0
CD,75,1,0,0,0,0
CD,76,4,0,0,0,0
CD,76,2,0,0,0,0
CD,76,1,0,0,0,0
CD,76,0,0,0,0,0
CD,77,1,0,0,0,0
CD,78,5,0,0,0,0
CD,78,1,0,0,0,0
CD,78,0,0,0,0,0
CD,79,4,2,0,0,2
CD,79,4,0,0,0,0
CD,79,0,0,0,0,0
CD,79,0,0,0,0,0
CD,80,3,0,0,0,0
CD,81,2,0,0,0,0
CD,81,1,0,0,0,0
CD,82,4,0,0,0,0
CD,82,0,0,0,0,0
CD,82,0,0,0,0,0
CD,83,2,2,0,0,2
CD,84,3,0,0,0,0
CD,84,3,0,0,0,0
CD,84,1,0,0,0,0
CD,85,2,0,0,0,0
CD,85,1,0,0,0,0
CD,85,0,0,0,0,0
CD,86,7,0,0,0,0
CD,86,0,0,0,0,0
CD,87,0,0,0,0,0
CD,88,4,0,0,0,0
CD,88,7,0,0,0,0
CD,88,3,0,0,0,0
CD,88,2,0,0,0,0
CD,89,5,0,0,0,0
CD,90,4,0,0,0,0
CD,90,2,0,0,0,0
CD,90,1,0,0,0,0
CD,90,0,0,0,0,0
CD,91,3,0,0,0,0
CD,91,2,0,0,0,0
CD,93,1,0,0,0,0
CD,93,4,2,0,0,2
CD,93,0,0,0,0,0
CD,95,4,0,0,0,0
CD,95,1,0,0,0,0
CD,96,2,0,0,0,0
CD,96,0,0,0,0,0
CD,97,7,0,0,0,0
CD,97,1,0,0,0,0
CD,98,6,2,0,0,2
CD,100,2,0,0,0,0
CD,100,0,0,0,0,0
CD,101,2,0,0,0,0
CD,102,3,0,0,0,0
CD,102,1,0,0,0,0
CD,103,5,0,0,0,0
CD,104,1,0,0,0,0
CD,104,0,0,0,0,0
CD,105,2,0,0,0,0
CD,105,1,0,0,0,0
CD,106,10,2,0,2,0
CD,107,3,0,0,0,0
CD,107,0,0,0,0,0
CD,108,8,4,0,2,2
CD,109,1,0,0,0,0
CD,110,1,0,0,0,0
CD,110,4,0,0,0,0
CD,111,3,0,0,0,0
CD,111,2,0,0,0,0
CD,112,3,0,0,0,0
CD,112,2,0,0,0,0
CD,113,4,0,0,0,0
CD,113,4,2,0,0,2
CD,114,6,2,0,0,2
CD,114,4,2,0,0,2
CD,114,3,0,0,0,0
CD,114,0,0,0,0,0
CD,115,6,2,0,2,0
CD,116,4,0,0,0,0
CD,116,2,0,0,0,0
CD,117,2,0,0,0,0
CD,117,1,0,0,0,0
CD,117,1,0,0,0,0
