HO,CD
6,36
14,32
5,36
7,43
9,38
10,40
13,29
15,31
15,44
14,39
9,39
12,39
10,41
10,31
8,32
5,41
9,38
13,35
9,33
8,38
11,34
11,38
16,30
8,30
11,30
17,36
7,35
12,31
9,44
10,41
12,50
7,43
11,38
9,34
13,35
6,39
11,35
13,26
14,41
12,24
11,34
15,36
19,35
9,34
20,25
7,35
9,34
10,27
10,35
9,43
4,35
14,41
6,41
5,45
6,43
10,24
14,38
5,55
14,39
10,36
7,42
12,38
12,32
8,38
10,44
10,32
10,39
13,45
11,43
9,33
7,47
7,40
11,21
10,31
12,39
13,32
11,38
12,32
11,41
8,40
12,31
8,38
5,44
7,39
18,33
13,36
8,34
13,33
9,36
12,29
14,35
13,35
8,35
12,52
11,49
13,32
14,34
10,34
12,30
9,38
11,45
9,37
15,29
12,32
9,43
6,42
15,34
13,44
11,43
11,33
10,36
11,37
9,26
10,30
9,32
5,35
7,44
10,31
4,29
13,37
14,40
11,51
12,35
9,45
14,39
7,41
8,26
11,31
6,36
9,38
10,32
10,29
9,30
12,30
10,35
7,38
11,39
11,28
4,58
7,38
5,31
13,39
5,44
6,36
12,35
7,41
13,28
25,29
12,35
6,39
14,35
14,37
6,32
6,44
12,43
13,33
8,34
10,37
9,33
16,37
11,39
6,31
10,40
16,37
11,33
11,41
11,29
10,48
11,44
11,30
9,43
6,30
5,39
4,42
13,39
10,38
13,36
6,35
10,35
11,27
8,35
13,39
12,53
13,41
8,38
10,40
8,43
8,44
7,41
8,51
10,49
10,32
8,30
9,45
9,37
14,40
7,42
11,30
9,50
11,46
12,38
10,44
8,34
7,44
13,38
11,35
9,28
10,35
5,38
7,36
13,41
9,31
13,43
10,37
9,32
10,31
11,38
13,43
16,31
17,34
11,32
6,38
13,32
10,41
13,29
10,40
10,39
9,30
15,28
6,36
9,38
8,33
18,33
9,31
8,43
8,31
9,49
7,43
13,36
12,38
4,40
10,37
10,20
7,42
11,33
8,27
8,39
15,31
7,38
10,46
9,41
11,29
10,41
7,39
12,33
11,51
16,39
14,45
7,32
12,32
15,41
11,41
8,39
9,44
14,34
9,36
12,35
4,33
14,27
10,37
10,33
13,38
12,35
18,35
11,37
8,34
8,41
9,40
12,40
9,39
12,47
14,30
14,43
12,39
11,37
6,41
12,33
7,44
13,43
2,33
13,41
11,35
8,41
4,40
9,40
11,46
14,27
12,40
17,39
7,39
9,39
7,42
9,34
11,37
9,54
11,35
7,39
11,47
9,39
11,31
4,34
13,43
8,36
13,31
9,45
12,38
6,21
11,33
10,47
6,41
12,29
13,36
6,41
12,45
9,34
8,49
13,47
11,33
10,36
5,41
12,33
11,44
6,38
7,33
16,45
3,38
12,36
12,38
13,43
10,33
14,33
9,24
8,39
9,39
11,30
14,38
11,35
12,55
16,38
13,26
14,40
9,34
7,43
10,34
9,35
7,35
18,42
5,36
10,32
11,42
13,44
15,30
14,35
7,30
6,33
14,31
12,56
5,32
7,34
7,36
6,45
5,23
4,34
8,34
10,32
13,40
15,35
13,51
10,34
11,39
8,37
8,35
12,35
