HO,CD
225,619
229,618
234,659
234,621
233,628
235,612
242,623
227,642
237,635
242,632
223,614
245,620
240,630
238,648
235,601
249,630
254,619
245,634
248,623
231,615
245,641
239,605
232,600
238,649
237,614
236,612
230,614
245,606
227,606
241,633
241,614
223,604
234,641
227,601
232,640
248,615
238,621
235,656
235,626
234,637
234,654
259,604
236,625
231,640
247,646
232,618
242,637
231,626
241,616
222,615
231,633
241,658
236,620
246,641
233,634
229,596
224,638
247,607
228,630
252,606
234,622
248,635
247,628
235,636
244,619
234,643
247,624
230,628
216,632
238,627
249,610
236,611
248,618
243,612
227,610
248,625
209,654
228,634
229,635
235,652
226,639
248,623
243,650
238,631
248,646
242,609
236,637
230,643
236,656
245,614
242,605
240,643
246,661
229,609
251,625
227,612
244,637
256,618
240,633
248,628
238,624
236,656
252,620
240,624
218,626
237,611
236,626
238,639
233,634
228,655
241,616
228,625
242,597
241,632
241,610
217,618
225,625
229,637
239,622
243,642
235,608
238,640
248,654
229,607
241,610
233,622
252,615
250,596
250,646
238,621
237,623
247,618
230,594
243,662
228,617
237,636
250,624
249,653
244,629
234,635
239,589
233,642
232,622
224,621
241,618
243,614
250,624
232,631
234,628
262,612
234,631
250,639
216,621
230,627
227,623
244,672
231,623
234,639
249,618
226,658
243,619
249,617
254,634
225,633
238,631
228,594
236,604
255,634
235,621
223,620
225,641
239,643
251,662
235,630
228,632
236,631
236,620
242,599
247,617
241,633
256,605
234,619
234,608
239,674
223,660
234,624
216,619
249,578
241,631
236,653
244,642
246,625
247,616
237,621
234,615
255,625
239,632
210,595
230,637
243,644
249,635
243,624
229,639
232,618
241,632
253,653
238,628
238,624
231,612
241,624
237,608
224,621
234,592
233,619
223,629
229,643
252,630
244,588
238,624
225,642
227,638
241,645
241,605
248,641
232,607
237,627
239,622
235,622
238,619
233,621
230,639
229,619
225,637
234,617
229,615
240,615
249,621
239,620
250,613
243,644
229,615
242,631
226,613
229,628
231,649
246,627
243,642
230,634
216,602
237,613
248,638
253,656
246,633
224,607
221,640
255,631
229,658
246,644
226,637
239,613
244,652
232,615
241,624
251,617
226,585
227,617
237,648
242,650
246,597
238,644
241,627
254,608
226,642
227,652
236,614
235,636
248,629
230,607
236,639
243,627
237,642
231,612
260,628
240,629
248,632
257,605
254,642
229,642
247,637
229,612
234,626
238,619
234,635
222,622
216,652
248,627
237,634
235,624
237,608
231,618
245,636
240,598
224,618
225,620
241,621
240,608
234,613
244,639
240,635
226,621
247,639
246,605
237,631
235,656
250,606
229,617
241,643
238,649
247,629
242,659
230,661
232,610
242,648
234,642
240,622
226,643
238,633
233,608
246,620
241,613
252,631
238,613
238,635
226,609
256,623
251,631
240,647
263,625
242,640
237,616
244,612
231,611
232,672
246,641
234,624
217,625
227,667
243,648
232,641
226,633
233,636
241,621
231,628
235,641
244,604
252,624
253,618
228,627
232,618
237,621
236,611
241,622
220,603
239,625
246,625
228,636
223,634
257,595
214,629
233,620
232,629
236,628
234,620
238,625
232,626
237,628
233,623
239,625
242,620
241,633
235,620
238,622
