HO,CD
18,77
27,76
23,84
17,88
23,83
21,78
21,76
29,68
20,77
22,86
15,84
25,70
22,85
16,80
24,81
23,90
18,71
19,84
23,81
22,86
17,73
22,76
24,86
21,84
19,89
21,87
24,77
21,79
20,89
22,85
20,89
20,75
20,75
21,86
22,78
19,83
25,80
19,89
21,65
18,89
23,66
25,76
17,81
19,83
20,71
23,94
22,66
26,69
21,94
19,75
25,75
18,75
13,76
25,85
21,87
27,86
23,84
23,80
20,75
16,85
20,79
22,91
22,80
15,74
19,78
22,69
25,91
15,91
23,91
26,82
26,86
18,86
16,83
21,82
23,81
22,82
20,91
19,89
21,83
23,75
19,86
18,85
22,78
17,81
18,72
22,81
23,85
20,79
21,76
23,77
25,83
15,85
25,75
22,95
23,70
19,75
23,92
20,80
24,86
25,87
27,71
22,74
17,91
21,88
24,95
22,73
24,75
21,82
18,83
18,79
19,86
20,81
18,82
22,70
28,79
24,78
23,74
21,73
23,88
26,74
21,84
24,75
22,79
21,85
19,79
24,77
18,77
19,86
23,77
23,72
21,94
20,91
21,74
21,79
26,86
19,83
20,76
17,76
25,76
24,72
23,72
28,79
24,73
23,101
27,79
22,90
23,78
20,82
23,88
19,84
22,86
18,75
21,76
21,77
22,76
26,79
22,84
26,77
19,89
20,68
21,72
22,73
23,83
24,65
24,85
22,81
20,86
22,77
25,86
20,69
24,85
19,86
23,76
17,96
19,70
19,84
20,91
20,66
20,89
23,80
22,91
25,74
22,86
20,80
24,85
23,80
18,71
21,84
26,68
22,76
21,70
28,81
23,74
25,88
19,77
25,73
26,89
24,89
22,69
23,95
16,73
23,75
20,77
22,87
25,87
20,82
24,87
20,85
20,87
23,71
18,76
19,95
17,83
18,80
20,73
22,80
14,97
22,80
17,81
23,76
26,85
20,83
25,82
21,85
26,91
18,91
19,82
27,74
23,81
17,84
16,74
24,90
21,80
23,74
18,71
24,80
21,80
22,81
19,89
20,78
18,72
23,82
26,87
24,79
21,91
17,82
21,95
23,69
20,76
25,65
28,89
26,85
25,86
19,77
23,81
25,72
21,79
21,75
22,77
22,87
19,87
17,90
18,67
26,97
21,86
19,83
21,86
23,69
21,92
22,73
20,79
25,73
20,76
21,73
25,78
24,85
20,83
21,80
21,83
19,88
24,80
16,85
20,68
28,68
22,74
19,76
20,84
28,84
21,75
18,84
20,79
24,78
25,68
21,81
24,78
17,81
16,88
24,84
23,86
26,73
18,77
24,76
29,88
15,82
20,80
25,81
25,79
21,92
21,94
28,82
27,78
24,92
23,81
19,90
27,86
17,80
23,80
15,97
25,79
18,89
23,93
25,80
24,82
17,71
24,87
18,95
25,78
21,72
22,86
14,83
22,72
20,78
23,73
23,79
23,81
26,76
20,84
26,92
21,91
25,77
19,83
14,79
19,79
25,83
24,79
21,79
19,85
19,82
16,78
19,80
25,92
28,85
26,78
20,90
20,81
20,84
18,82
21,80
21,86
21,82
24,87
25,78
22,77
18,84
25,75
20,78
28,88
20,84
25,78
26,82
18,74
21,80
20,79
15,92
20,82
27,76
18,80
24,72
27,76
21,84
23,72
17,78
24,81
22,79
20,82
21,78
23,66
16,81
21,83
21,80
15,73
22,83
20,75
19,81
23,73
23,78
20,86
20,96
24,73
22,83
24,76
19,95
23,86
19,75
24,88
19,84
26,77
21,84
21,86
25,80
21,80
21,78
27,92
26,74
21,78
22,79
20,78
20,83
23,67
29,75
26,89
22,85
19,75
19,76
19,75
26,73
24,85
23,84
27,75
28,82
33,78
23,76
23,77
18,87
20,80
20,75
24,77
19,74
22,74
21,82
22,86
24,84
20,82
25,76
24,80
27,93
22,79
21,64
26,75
17,81
20,70
22,81
21,78
23,80
24,81
19,82
20,93
23,75
20,77
18,90
18,74
26,82
21,83
16,75
20,65
20,79
23,69
22,78
23,77
18,85
24,81
16,87
21,67
19,77
21,83
21,95
27,63
20,86
21,78
22,83
22,82
17,69
22,78
21,73
22,84
26,77
23,75
22,90
18,81
18,79
21,86
16,72
29,76
22,67
19,89
14,76
22,80
24,86
19,81
17,81
21,84
16,87
20,81
27,80
27,76
22,89
18,64
21,74
28,79
24,81
19,72
21,79
20,81
21,78
18,74
21,84
26,72
21,80
19,75
24,64
23,80
23,75
19,77
19,86
23,93
24,82
17,74
15,82
23,96
25,88
19,82
19,78
20,85
24,72
19,73
15,79
17,82
20,86
24,71
23,73
25,71
21,82
18,90
22,92
23,81
27,74
18,78
25,78
30,84
21,82
24,78
17,77
15,85
26,82
23,77
27,73
18,74
25,78
19,83
22,66
20,78
23,82
22,71
21,74
23,72
21,79
25,75
20,71
24,84
19,75
23,84
26,85
22,96
24,85
19,97
19,71
26,96
21,69
24,73
23,74
22,82
26,78
23,82
23,77
22,76
26,84
26,75
18,79
24,76
23,87
23,88
22,81
19,81
18,76
24,79
24,91
19,87
17,90
28,82
16,94
26,86
23,70
23,86
23,101
15,72
20,85
18,87
25,80
26,78
22,77
24,81
17,72
22,86
19,91
23,81
18,69
21,75
26,80
20,80
20,77
17,72
23,85
24,76
21,77
20,78
18,79
17,77
24,76
23,78
18,78
23,88
20,87
21,83
23,81
23,79
22,79
20,85
19,87
26,81
13,79
21,74
26,80
27,98
26,85
22,88
18,87
24,80
25,95
19,84
23,77
24,84
23,77
19,81
24,89
21,63
19,80
22,69
24,89
25,83
20,79
18,89
18,89
20,89
22,78
19,77
21,81
20,82
23,88
20,78
20,83
21,75
21,66
23,68
26,75
21,77
23,78
21,79
18,74
18,83
21,80
22,73
21,85
26,80
22,69
21,80
23,92
18,74
24,87
25,81
19,74
20,85
29,86
19,86
21,80
28,82
25,68
21,76
19,76
20,76
23,81
21,83
27,71
23,69
17,80
22,78
21,80
21,90
25,78
28,80
30,84
20,79
23,90
16,85
26,81
27,83
21,81
21,76
20,81
24,88
22,85
19,82
27,73
17,82
21,78
19,66
22,87
25,82
25,82
20,90
24,83
21,80
19,80
26,75
26,85
21,69
20,78
23,70
22,90
27,84
21,86
15,79
20,85
20,69
20,79
16,75
21,76
29,79
24,79
26,78
20,71
21,75
22,84
20,78
17,68
22,81
22,82
20,79
26,74
23,94
21,82
23,82
22,77
19,86
21,80
21,83
26,82
20,81
18,85
26,91
20,73
22,86
27,82
21,91
22,85
15,83
19,70
25,71
21,88
20,83
19,76
25,91
18,81
19,73
24,88
31,80
19,90
21,87
21,71
19,80
16,82
18,83
18,79
19,85
25,86
17,87
28,75
22,79
24,79
18,97
21,81
18,77
24,80
23,93
26,86
19,78
19,70
20,76
23,90
18,79
20,86
22,76
22,94
23,80
25,85
22,75
27,83
22,84
19,81
22,84
18,86
19,90
25,82
23,84
20,82
22,87
18,76
21,82
24,68
15,68
21,79
31,75
24,80
19,86
20,88
26,83
23,79
21,74
18,74
21,88
23,75
24,84
26,79
23,78
24,88
23,71
23,89
18,92
21,69
21,60
25,76
23,76
18,78
26,72
30,88
23,82
25,89
23,72
20,90
14,78
23,91
21,76
20,83
19,79
25,76
25,80
21,87
23,85
18,83
24,79
23,79
20,76
20,80
18,93
24,76
27,78
22,79
15,81
25,74
24,89
25,77
20,78
26,73
26,75
24,78
22,75
22,75
33,88
20,71
18,73
25,82
24,72
25,91
25,81
23,81
17,86
23,72
24,76
27,85
21,68
23,76
21,75
18,75
22,91
24,106
18,77
16,82
17,88
20,70
23,87
26,80
18,92
30,84
20,76
23,70
19,85
20,86
22,77
24,80
22,92
22,83
25,76
20,80
20,83
22,80
20,84
19,81
19,76
19,85
18,68
24,81
20,71
23,75
26,80
26,80
23,71
20,80
27,78
24,78
27,79
20,69
25,83
23,80
18,85
20,91
25,74
17,91
29,86
23,81
19,87
26,86
25,65
25,81
16,76
20,92
17,84
23,73
21,82
24,70
24,82
20,80
22,88
18,82
21,80
19,84
18,84
25,87
20,87
21,86
28,81
25,91
19,80
20,83
25,73
22,85
18,87
17,87
29,89
26,75
17,76
23,77
27,90
18,88
17,81
22,78
29,79
19,83
23,84
19,81
14,82
25,91
20,78
25,88
19,87
23,84
21,80
22,88
21,83
30,85
19,88
21,81
24,81
26,82
22,81
22,78
20,85
20,67
24,76
24,82
25,73
21,96
16,81
28,67
17,82
23,84
20,75
26,95
27,87
16,71
20,75
22,72
21,77
19,82
21,69
25,79
24,83
24,72
26,71
25,78
20,79
20,78
23,83
23,77
21,81
26,93
27,84
21,83
19,89
23,81
20,80
18,80
25,78
25,81
17,79
24,76
22,77
25,78
21,89
22,71
20,90
20,82
22,74
24,87
22,79
26,77
21,72
21,68
19,87
19,76
21,80
23,84
21,84
23,88
28,73
23,65
26,74
22,88
25,82
20,92
24,84
27,77
26,76
22,93
23,86
19,87
22,75
19,82
17,87
21,87
21,69
20,79
25,84
20,70
20,82
25,79
17,74
20,76
22,81
21,77
18,80
25,93
23,63
21,71
24,77
16,85
20,73
23,69
19,76
21,86
24,77
21,78
20,74
20,79
21,83
31,79
22,79
26,77
18,71
23,79
23,83
22,92
25,77
25,71
25,91
22,73
18,83
22,74
25,85
23,82
21,82
25,80
21,77
24,77
18,76
20,85
24,73
25,80
22,89
21,87
25,78
22,79
21,83
22,66
20,81
24,86
26,88
21,76
19,79
18,72
21,80
22,79
20,78
21,89
18,79
20,76
21,70
23,84
22,70
28,77
25,88
18,78
23,77
20,68
22,80
20,77
25,65
23,83
23,73
21,87
21,73
17,77
25,82
27,72
19,85
26,79
20,71
18,71
19,72
25,81
20,75
18,76
27,83
19,81
23,82
20,82
28,90
21,81
18,71
19,94
22,89
23,82
27,81
22,79
19,74
24,75
17,76
19,76
22,71
19,87
23,74
20,73
21,88
25,84
27,73
22,84
22,81
23,85
24,82
16,86
18,78
22,77
28,103
24,83
24,88
19,83
21,78
22,69
20,81
25,86
20,79
27,76
20,85
20,70
23,78
19,82
24,74
20,86
21,72
24,69
24,80
23,81
19,80
23,80
20,73
21,66
22,86
19,76
15,73
22,78
14,76
18,77
21,85
16,80
23,73
28,72
24,75
26,74
22,89
21,77
21,88
21,80
23,78
23,85
24,86
24,87
23,76
23,77
26,76
22,80
25,77
18,89
18,78
24,84
22,78
17,74
17,75
16,96
18,88
25,74
21,91
19,82
27,96
28,74
23,74
25,81
17,78
19,81
25,85
20,90
25,78
21,82
22,74
19,69
18,72
24,70
20,80
24,78
23,81
15,86
24,77
18,87
24,67
18,86
23,84
21,76
15,85
15,85
23,84
17,77
19,66
18,84
24,67
18,91
22,83
27,79
23,74
25,94
23,81
25,88
24,72
16,79
23,80
20,88
21,88
24,86
20,85
20,72
19,85
16,69
26,85
21,78
25,82
24,77
20,72
19,80
16,77
22,77
21,68
24,93
24,83
20,78
22,82
22,85
20,93
26,75
20,94
23,90
22,77
23,81
25,82
24,83
21,79
25,81
27,65
21,74
18,86
20,84
23,77
20,89
22,84
23,78
22,80
25,75
22,78
25,68
23,74
25,74
21,72
18,83
20,74
21,79
19,67
22,74
21,87
23,81
23,81
22,76
21,72
20,79
22,81
19,79
27,94
24,81
24,78
17,81
21,81
18,83
22,78
19,87
24,85
21,80
15,81
20,82
24,71
24,90
20,85
22,81
25,73
19,85
25,84
24,86
24,77
26,86
14,73
25,77
16,85
16,73
20,84
20,91
21,77
21,65
22,74
22,80
19,81
23,75
21,81
31,84
18,78
25,71
21,96
22,95
18,73
23,81
16,92
24,81
23,76
26,75
21,86
26,82
19,71
20,82
24,81
19,82
16,91
15,85
22,66
23,85
22,74
19,75
20,77
27,84
22,79
22,80
20,77
22,81
22,72
22,76
17,74
19,83
18,68
25,79
20,79
25,88
24,70
17,80
17,82
20,74
22,90
19,84
20,85
22,67
21,75
25,103
26,78
23,76
18,83
30,82
17,76
22,85
18,78
22,81
24,71
23,80
18,76
24,76
24,91
28,82
23,85
18,84
22,79
24,79
23,84
22,88
22,85
25,86
15,80
24,83
20,81
23,86
16,83
26,94
18,85
32,79
18,85
21,76
20,70
25,79
25,87
20,86
21,77
20,85
23,66
19,77
21,75
28,84
28,79
17,75
16,90
18,76
19,80
25,72
22,86
22,75
19,71
24,80
24,80
21,82
24,86
22,84
23,84
25,83
18,80
24,85
29,81
22,70
23,85
25,90
23,71
19,93
21,80
23,75
15,83
18,96
24,81
22,76
19,92
19,76
21,78
15,80
18,71
20,77
20,72
23,81
19,86
24,71
21,83
23,95
23,72
17,68
25,69
20,81
20,74
19,91
18,79
22,85
19,82
28,85
24,77
24,82
20,72
