HO,CD
51,180
43,182
42,178
39,196
40,174
39,177
51,155
46,174
44,177
56,175
52,179
40,177
48,149
43,165
43,174
44,171
45,159
49,157
39,188
43,167
48,162
49,151
39,173
43,169
45,157
54,160
49,176
61,165
44,173
40,154
46,177
51,171
48,163
39,161
46,190
53,162
46,168
37,176
46,171
47,173
51,169
44,180
43,165
49,181
42,173
42,171
50,179
48,174
41,160
52,148
51,190
48,168
49,189
44,158
47,187
54,178
50,175
41,181
39,175
45,180
49,177
41,170
43,157
48,173
47,173
45,162
45,173
41,161
44,162
38,159
45,160
44,179
47,173
49,193
47,169
47,194
43,182
35,161
35,141
45,155
46,188
48,177
45,164
37,166
46,170
44,165
51,173
40,178
45,178
40,159
41,166
55,176
37,162
29,171
55,170
39,166
43,185
47,174
41,155
51,170
48,170
45,172
49,171
49,186
52,161
44,167
51,165
45,181
39,177
48,177
44,156
48,173
45,181
49,146
53,173
53,159
42,160
43,158
47,145
47,168
43,164
43,177
51,158
40,184
50,173
39,173
49,150
47,173
44,177
42,178
51,180
44,160
44,188
37,166
42,173
47,180
46,159
45,159
41,162
48,164
41,177
51,162
46,160
47,160
46,149
46,164
46,172
43,161
54,169
50,170
51,168
47,172
47,163
36,164
42,194
40,170
44,151
47,178
48,168
51,163
44,173
38,161
41,162
46,170
51,166
42,173
46,148
59,161
48,159
41,171
44,162
54,169
49,155
39,156
44,165
48,161
44,184
49,184
50,177
48,191
51,161
43,159
49,177
47,171
48,174
46,181
42,173
43,163
37,174
49,165
57,168
53,169
38,176
48,176
42,173
52,168
35,171
44,182
44,187
60,174
42,198
44,148
42,172
41,175
49,181
43,163
52,157
41,158
44,182
45,170
44,155
42,173
50,155
34,152
42,155
47,145
44,180
42,192
39,180
44,175
47,163
49,161
41,164
42,159
41,186
46,182
55,186
45,159
44,170
46,173
41,173
42,161
43,159
55,171
58,167
44,170
36,153
39,156
50,160
40,161
44,164
59,165
51,172
41,184
45,160
45,176
48,165
36,147
52,171
53,180
48,158
39,163
52,168
43,172
55,175
48,188
39,163
57,162
39,183
45,169
38,170
37,170
54,184
47,179
42,169
40,170
38,180
42,162
43,168
48,176
47,176
36,161
41,173
45,176
46,156
53,179
58,160
39,176
40,170
58,170
47,147
48,169
46,161
46,150
33,164
42,189
42,175
57,154
48,167
53,162
45,174
48,169
47,181
44,155
52,153
49,163
53,165
48,159
43,162
49,175
48,168
38,166
40,182
47,141
45,137
50,162
58,139
39,163
53,166
43,182
38,192
48,161
59,181
43,159
45,161
37,158
46,184
48,178
46,179
45,175
40,177
50,172
41,155
47,162
41,181
59,176
57,171
44,171
40,191
40,173
44,186
45,169
45,177
34,158
43,161
48,163
56,169
53,163
