HO,CD
28,64
36,62
26,71
25,61
24,79
23,65
32,93
31,84
20,56
36,70
27,65
37,76
31,79
22,69
40,61
34,55
23,68
30,64
20,80
30,63
27,54
30,78
18,73
32,80
29,77
31,72
32,82
26,72
30,57
24,75
27,67
29,71
31,68
30,62
28,74
34,79
33,66
38,68
32,72
21,71
28,66
31,69
27,68
31,66
31,80
33,58
24,65
31,65
25,88
26,51
29,59
28,68
28,62
39,55
23,80
25,79
31,83
40,76
30,59
24,82
28,67
32,76
36,61
30,66
30,64
26,63
41,72
28,77
26,69
28,78
29,57
30,76
28,65
30,67
34,52
25,60
35,78
26,77
26,70
28,70
33,83
31,81
37,70
32,68
36,89
23,69
33,81
28,59
31,68
31,74
34,92
35,74
34,68
29,75
33,76
21,69
38,60
27,76
31,74
24,82
50,68
33,84
31,73
26,73
27,62
21,73
30,63
37,65
26,54
35,68
27,83
37,67
34,77
27,61
27,79
28,77
26,61
23,72
33,75
32,74
26,65
26,69
28,70
30,94
42,75
28,69
22,64
25,68
34,64
31,67
27,85
32,76
36,73
22,77
29,67
25,57
33,71
35,75
27,68
31,74
25,74
29,67
29,68
32,65
34,60
23,59
36,69
31,63
35,52
33,69
31,77
32,81
29,76
30,73
35,80
36,73
35,60
24,57
29,78
39,84
30,63
33,59
28,80
33,61
32,66
25,67
33,62
32,70
39,57
34,67
33,63
25,75
31,86
26,81
29,68
27,80
32,77
29,54
33,81
21,73
33,70
26,69
28,69
42,65
35,76
27,79
27,60
34,55
32,71
31,72
31,79
36,102
32,67
36,82
22,77
30,55
27,66
25,66
24,70
32,69
32,76
33,66
32,58
26,85
23,60
27,62
30,59
31,73
29,68
27,78
34,61
24,72
32,73
29,56
35,74
29,80
33,91
27,81
32,60
29,70
43,57
21,71
23,62
29,64
29,81
26,63
29,83
32,61
30,75
30,62
38,79
29,67
22,55
26,74
24,78
32,52
26,59
25,67
34,75
27,65
26,66
28,63
25,70
31,66
30,69
21,96
34,67
32,59
36,66
21,64
27,63
27,68
29,57
27,74
29,62
37,71
26,69
39,78
36,72
36,73
23,65
36,62
20,63
29,66
24,62
25,69
26,84
30,72
38,72
26,75
25,78
30,65
30,69
33,65
36,81
19,68
31,81
33,75
28,62
30,66
35,66
22,70
33,68
26,79
31,63
19,60
29,80
28,77
24,79
17,60
23,63
35,72
31,64
28,70
31,74
28,67
28,72
35,82
28,76
37,77
33,69
30,75
39,73
29,84
23,73
36,68
26,74
30,63
29,88
27,69
23,58
44,72
27,66
23,53
37,85
24,73
34,84
21,68
40,66
30,77
22,69
35,70
25,78
31,80
41,74
27,65
33,84
23,57
38,69
34,68
23,72
43,59
30,73
30,67
29,72
31,60
31,64
31,71
33,70
42,69
34,84
22,61
29,76
28,74
33,72
30,76
28,78
31,78
28,58
36,67
33,87
25,68
26,60
33,64
37,68
24,70
31,61
26,59
23,74
24,60
25,81
29,60
29,68
24,66
31,69
27,71
33,72
27,81
33,64
31,83
19,63
31,81
23,92
27,78
24,69
25,76
25,75
32,77
24,76
22,90
32,72
31,67
37,72
30,77
27,49
36,82
34,56
34,71
24,67
27,65
26,73
29,75
34,63
28,77
28,67
39,74
31,67
27,57
36,65
33,72
32,57
38,81
31,57
28,62
28,54
35,89
31,52
24,80
37,70
25,75
34,101
32,59
24,54
35,69
29,77
19,71
42,75
38,66
25,69
27,69
28,75
37,70
39,80
29,78
30,68
28,74
25,71
31,53
35,51
26,70
28,70
29,71
25,76
32,71
26,63
31,58
33,69
24,67
35,66
30,75
28,64
32,64
27,87
43,86
29,79
28,80
32,80
30,71
38,76
30,68
33,76
46,66
41,69
27,89
33,75
26,68
40,68
26,59
24,70
31,88
36,69
27,73
33,78
29,56
26,75
30,75
24,59
25,81
24,58
27,65
26,80
30,71
28,89
28,65
28,75
35,73
32,62
31,85
42,76
27,75
32,85
28,60
34,72
44,64
31,65
31,70
32,72
25,60
24,82
30,66
33,62
29,55
27,65
22,71
26,67
29,64
33,91
32,69
31,69
29,79
33,64
30,88
30,86
34,65
30,58
21,68
34,75
22,51
34,65
43,65
33,85
25,78
25,74
31,71
30,57
26,88
29,75
31,67
33,86
30,69
33,60
28,66
29,66
24,81
29,66
28,65
36,80
31,86
36,60
25,74
26,78
24,57
26,80
25,63
40,71
20,78
26,66
27,76
23,62
25,50
31,81
30,58
33,61
31,82
26,78
32,90
29,74
26,74
34,86
30,69
40,78
27,65
26,55
28,65
27,73
23,95
30,76
36,72
35,74
25,73
31,69
30,51
26,77
30,68
30,59
32,80
28,70
38,65
27,74
25,62
33,78
18,77
28,60
18,86
31,64
26,73
38,69
24,60
31,67
39,76
31,65
25,83
27,78
26,57
27,80
34,72
33,63
27,54
29,78
30,60
28,77
30,67
36,64
25,67
33,76
37,77
33,65
38,55
33,64
34,57
42,61
34,66
27,64
21,63
31,73
25,53
42,80
42,73
27,71
33,74
38,66
33,71
20,76
34,63
38,63
37,78
25,62
24,60
27,69
30,69
41,82
39,71
28,60
32,62
32,71
35,73
31,69
27,70
38,84
27,81
33,75
22,74
30,58
26,62
37,81
28,62
33,64
30,63
27,67
27,74
28,68
31,79
26,85
34,66
36,60
39,62
29,61
25,72
31,75
36,44
33,78
28,63
28,67
25,68
33,74
32,64
42,68
26,68
27,68
33,75
27,82
34,67
30,61
35,64
29,57
37,74
42,68
31,67
24,62
31,92
30,74
26,66
30,70
28,78
31,70
29,70
41,63
33,61
26,77
22,75
20,72
31,65
30,66
26,67
41,66
29,80
20,82
34,83
42,73
22,63
33,71
40,69
37,88
21,79
32,74
40,86
29,68
37,76
37,57
26,65
35,74
29,75
28,68
28,56
31,57
37,75
33,71
32,54
29,75
41,72
31,77
34,58
24,69
27,74
16,63
23,87
26,80
21,65
30,75
29,69
36,63
25,63
31,68
35,74
33,69
36,73
43,82
25,66
25,60
30,68
29,70
25,72
26,70
27,59
26,66
30,76
41,71
36,82
30,63
22,77
23,78
21,81
25,70
29,75
29,62
36,73
30,65
45,59
35,75
43,88
32,62
32,71
20,70
38,77
29,74
29,79
37,81
31,70
31,72
31,74
33,73
38,70
26,67
40,80
36,52
36,66
