HO,CD
108,249
117,237
97,234
101,219
84,271
95,221
94,250
92,227
94,235
95,255
100,221
108,250
102,240
101,238
108,228
125,221
110,238
101,226
102,233
94,222
97,223
103,267
87,245
99,214
91,231
96,204
121,227
108,246
87,223
114,232
123,260
99,217
90,224
94,247
111,236
105,260
101,250
98,238
102,212
100,244
109,250
92,235
97,235
102,259
89,242
109,218
113,233
91,213
102,231
110,273
89,235
101,220
101,210
85,234
99,244
96,224
107,224
101,227
121,213
90,206
95,231
99,227
94,213
109,256
94,218
96,258
85,210
96,233
92,233
84,236
86,229
107,225
100,247
102,210
110,210
90,258
95,222
97,251
115,225
89,215
111,246
95,211
108,231
88,238
109,215
101,208
94,223
84,232
97,231
110,202
119,220
97,218
92,221
106,234
116,227
93,231
106,247
124,232
97,229
95,229
85,216
87,224
83,232
100,246
99,237
102,236
97,243
94,219
96,235
87,242
103,248
117,239
102,254
92,207
91,232
99,239
77,236
104,210
87,213
105,231
97,197
93,244
97,250
89,217
118,226
109,228
94,227
94,241
102,220
97,236
97,229
114,243
96,247
105,232
110,233
93,223
81,220
96,223
103,244
113,223
91,233
96,253
94,240
87,234
91,225
86,229
92,220
104,222
95,215
96,239
85,242
97,211
86,249
119,255
94,203
103,257
98,238
98,244
103,245
96,227
102,232
101,221
95,257
108,220
102,227
101,226
114,235
113,225
93,213
94,248
75,230
105,229
93,213
102,255
110,212
103,225
100,233
81,242
93,220
120,214
128,264
104,243
95,231
102,221
102,219
93,234
100,226
104,229
93,244
96,221
94,238
93,246
116,220
114,242
93,203
94,244
99,212
121,219
96,231
97,246
100,204
97,233
86,216
90,202
97,224
90,222
94,248
96,225
96,261
102,239
93,222
102,220
107,232
83,247
108,239
98,225
99,230
90,223
107,229
95,221
102,215
91,244
105,229
99,237
102,224
103,243
101,220
95,239
104,236
86,228
106,221
106,233
114,225
94,217
122,217
100,232
102,220
119,218
115,257
110,217
99,258
106,249
98,257
102,227
116,223
93,217
97,202
103,237
101,215
109,241
101,224
98,214
88,251
99,213
96,218
101,231
108,239
102,247
106,214
106,243
98,229
88,229
106,237
106,215
96,253
89,256
103,247
97,233
113,228
111,232
108,234
103,243
91,251
90,230
95,213
92,215
105,240
116,241
108,230
89,235
106,259
112,250
104,241
108,236
75,211
96,239
102,214
115,229
105,196
94,209
98,233
95,235
93,225
105,222
108,219
94,224
98,254
81,232
89,222
96,198
98,213
95,227
104,197
100,205
115,231
92,239
110,233
78,233
87,222
112,260
84,257
100,211
107,231
118,220
113,240
107,233
101,217
111,226
106,239
91,245
112,244
99,227
87,237
110,212
83,248
107,253
96,243
98,229
96,227
119,234
107,212
91,234
96,256
97,219
115,229
106,226
118,226
98,221
108,246
105,229
101,258
99,235
95,223
101,211
103,228
84,243
93,254
97,234
102,221
105,238
106,229
101,218
102,237
102,214
103,212
86,225
111,239
106,239
92,231
88,227
103,263
102,215
109,262
97,236
113,230
102,249
112,223
104,235
107,254
92,233
98,229
92,218
92,209
100,226
117,254
94,241
113,221
97,244
94,275
99,214
86,250
111,231
104,232
95,245
87,251
110,231
109,221
101,207
93,220
104,227
119,211
100,195
105,237
103,222
91,221
108,266
98,212
102,227
98,238
89,245
99,238
107,216
99,230
96,217
101,221
90,262
110,213
