HO,CD
5,31
13,29
4,32
6,37
7,34
10,31
11,24
12,27
13,41
11,29
7,33
11,30
10,33
7,25
6,27
5,35
9,32
9,28
9,25
8,32
11,28
9,36
14,24
8,27
10,28
14,33
6,28
10,27
9,35
9,32
11,40
5,31
10,32
9,29
10,30
5,32
9,30
12,24
12,34
12,21
10,28
10,30
16,28
9,30
16,20
7,32
7,31
8,25
9,29
6,37
4,31
10,38
6,36
5,39
5,37
9,21
12,32
4,45
11,31
8,30
7,32
8,33
11,30
6,31
10,39
9,30
10,32
12,37
8,35
6,27
6,38
6,30
10,19
9,28
9,36
12,28
9,32
11,30
9,35
8,36
11,28
8,35
5,41
5,31
15,30
13,32
8,28
11,26
8,35
8,25
12,30
13,28
7,31
11,39
8,35
10,30
10,32
9,29
9,28
9,31
10,39
7,31
11,26
8,31
9,32
5,36
10,30
11,36
9,39
8,30
10,31
8,30
7,24
10,25
6,28
4,29
7,40
9,25
4,27
12,31
11,32
9,41
11,32
8,39
10,36
6,33
8,24
10,26
5,31
8,37
9,29
7,28
7,28
12,25
9,33
7,35
10,31
10,26
4,38
7,36
5,27
13,35
5,38
6,32
11,32
7,32
11,26
18,25
11,31
6,31
11,32
12,32
6,28
5,39
10,39
10,30
6,28
10,33
6,31
13,34
10,33
5,27
8,34
14,32
9,26
11,34
8,26
7,43
10,35
7,27
9,37
6,27
4,31
4,38
12,34
9,36
12,34
6,32
10,29
10,27
8,27
10,34
9,40
12,38
8,32
8,29
7,33
8,37
7,34
7,45
9,39
10,27
8,27
9,38
7,29
12,33
5,33
10,27
9,39
9,35
10,33
10,40
7,29
6,36
10,33
11,31
7,26
9,30
5,28
6,30
11,36
9,31
9,36
9,35
9,24
10,26
11,35
13,31
13,28
11,28
10,28
6,30
13,30
9,35
13,25
10,37
8,33
9,27
13,24
6,31
7,36
7,28
15,27
6,26
7,37
7,28
8,37
5,39
11,29
11,34
4,34
10,26
8,17
7,34
8,27
8,24
8,34
12,29
5,32
8,38
8,35
9,26
9,35
7,33
11,28
10,42
9,33
13,40
7,28
9,26
13,35
9,37
8,35
7,39
10,27
7,34
11,30
4,29
13,25
8,32
9,29
10,31
11,32
14,33
8,28
8,25
7,32
9,33
10,33
8,33
11,37
14,26
13,32
9,36
8,33
5,38
11,28
6,36
9,38
2,26
9,32
9,31
5,33
4,37
8,36
8,39
14,25
10,34
15,32
5,34
9,34
6,34
8,31
11,31
8,48
10,31
6,32
10,39
8,30
8,26
4,33
11,36
8,32
12,28
7,40
9,36
5,17
9,30
10,40
5,35
11,26
10,26
6,37
11,39
8,31
8,39
12,38
11,31
10,32
4,34
10,29
10,38
4,34
4,27
12,37
3,35
11,30
9,34
10,38
9,29
11,28
9,21
8,35
9,29
9,28
12,33
10,32
9,44
12,35
10,23
10,32
7,32
6,36
10,30
8,27
7,25
13,34
3,31
10,31
11,33
9,39
12,25
13,31
7,25
5,28
11,24
9,43
5,25
7,31
7,30
6,38
5,19
4,31
5,30
9,30
12,35
11,30
9,40
9,28
11,34
7,31
8,30
10,33
8,33
12,26
5,33
9,31
8,29
10,33
9,32
10,37
9,36
9,29
9,41
6,27
9,35
8,37
8,34
6,36
9,29
7,30
10,32
9,27
7,33
11,24
6,34
8,34
4,27
9,30
13,23
9,36
5,30
4,27
10,39
8,29
7,33
11,35
10,35
6,38
7,32
5,32
16,32
10,23
11,44
9,28
8,35
10,28
15,43
14,37
11,38
8,31
8,30
12,38
5,30
10,34
6,34
7,28
7,29
11,27
7,27
7,38
10,29
9,31
13,34
6,29
8,40
7,30
12,34
8,33
5,38
15,30
14,32
10,29
13,50
8,29
11,32
5,32
13,24
8,26
4,33
6,33
10,36
11,38
10,28
7,30
9,31
5,34
8,33
6,31
12,30
10,35
4,36
12,30
8,38
6,27
12,28
14,30
14,40
7,35
13,27
10,37
8,29
7,32
14,40
7,29
12,30
8,37
4,31
5,32
8,30
8,26
11,30
11,31
11,31
7,26
4,25
9,33
8,26
6,22
11,34
9,28
9,34
8,23
9,30
8,34
7,41
8,31
6,35
7,36
6,35
6,27
12,23
6,34
7,33
9,26
13,32
7,31
10,33
10,29
9,33
9,32
7,33
9,29
10,39
9,29
8,35
11,31
13,32
6,24
8,35
9,31
9,33
8,31
4,41
11,39
6,21
10,28
8,33
5,39
14,46
8,29
11,29
7,25
14,26
9,24
9,33
9,29
12,30
6,20
8,33
11,28
8,36
10,31
9,26
13,37
9,33
11,31
5,29
7,37
12,26
12,31
10,28
9,28
9,30
9,36
9,36
6,37
8,30
11,30
8,24
8,31
10,42
9,22
7,35
11,35
6,45
12,30
10,39
8,27
9,24
8,32
9,38
13,22
11,28
10,34
8,27
14,35
17,31
10,22
5,31
8,34
6,35
7,32
6,27
9,36
6,38
13,38
6,31
6,47
6,31
10,32
9,30
10,29
6,27
12,29
12,32
12,36
8,32
11,32
6,31
11,31
14,30
10,25
7,31
8,31
8,33
9,35
